Estimate Status,Year,State,Fishing Area,Angler Trips,PSE
FINAL,2015,MISSISSIPPI,OCEAN (> 3 MI),204847,32.4
FINAL,2015,MISSISSIPPI,INLAND,1277245,8
FINAL,2016,ALABAMA,OCEAN (<= 3 MI),348660,17.3
FINAL,2016,ALABAMA,OCEAN (> 3 MI),544064,14.9
FINAL,2016,ALABAMA,INLAND,1117325,9.6
FINAL,2016,FLORIDA,OCEAN (<= 10 MI),6551661,8.3
FINAL,2016,FLORIDA,OCEAN (> 10 MI),1803440,11.4
FINAL,2016,FLORIDA,INLAND,9527889,7.7
FINAL,2016,MISSISSIPPI,OCEAN (<= 3 MI),123567,17.6
FINAL,2016,MISSISSIPPI,OCEAN (> 3 MI),102779,28.1
FINAL,2016,MISSISSIPPI,INLAND,1506887,7.9
FINAL,2017,ALABAMA,OCEAN (<= 3 MI),373869,18.7
FINAL,2017,ALABAMA,OCEAN (> 3 MI),895753,19.4
FINAL,2017,ALABAMA,INLAND,1270868,14.1
FINAL,2017,FLORIDA,OCEAN (<= 10 MI),6494490,10.6
FINAL,2017,FLORIDA,OCEAN (> 10 MI),2283603,14
FINAL,2017,FLORIDA,INLAND,9247023,9.9
FINAL,2017,MISSISSIPPI,OCEAN (<= 3 MI),52915,33.4
FINAL,2017,MISSISSIPPI,OCEAN (> 3 MI),158032,24
FINAL,2017,MISSISSIPPI,INLAND,1394685,12.7
FINAL,2018,ALABAMA,OCEAN (<= 3 MI),259902,16.8
FINAL,2018,ALABAMA,OCEAN (> 3 MI),564318,19.5
FINAL,2018,ALABAMA,INLAND,1008852,13.1
FINAL,2018,FLORIDA,OCEAN (<= 10 MI),5971212,9.9
FINAL,2018,FLORIDA,OCEAN (> 10 MI),2181979,14.2
FINAL,2018,FLORIDA,INLAND,9173111,9.3
FINAL,2018,MISSISSIPPI,OCEAN (<= 3 MI),107619,28.2
FINAL,2018,MISSISSIPPI,OCEAN (> 3 MI),120283,25.5
FINAL,2018,MISSISSIPPI,INLAND,1298826,11.5
FINAL,2019,ALABAMA,OCEAN (<= 3 MI),221485,18.7
FINAL,2019,ALABAMA,OCEAN (> 3 MI),748861,11.9
FINAL,2019,ALABAMA,INLAND,771400,11.5
FINAL,2019,FLORIDA,OCEAN (<= 10 MI),5534129,9.6
FINAL,2019,FLORIDA,OCEAN (> 10 MI),2463088,12.8
FINAL,2019,FLORIDA,INLAND,7296271,8.6
FINAL,2019,MISSISSIPPI,OCEAN (<= 3 MI),167968,47.4
FINAL,2019,MISSISSIPPI,OCEAN (> 3 MI),134447,21.3
FINAL,2019,MISSISSIPPI,INLAND,1079291,10.3
FINAL,2020,ALABAMA,OCEAN (<= 3 MI),214049,18
FINAL,2020,ALABAMA,OCEAN (> 3 MI),668565,14.9
FINAL,2020,ALABAMA,INLAND,1116606,10.7
FINAL,2020,FLORIDA,OCEAN (<= 10 MI),6143078,9.4
FINAL,2020,FLORIDA,OCEAN (> 10 MI),1818308,12.3
FINAL,2020,FLORIDA,INLAND,9153997,8.4
FINAL,2020,MISSISSIPPI,OCEAN (<= 3 MI),119423,29.2
FINAL,2020,MISSISSIPPI,OCEAN (> 3 MI),112692,20.4
FINAL,2020,MISSISSIPPI,INLAND,1217874,9.2
FINAL,2021,ALABAMA,OCEAN (<= 3 MI),185525,18.3
FINAL,2021,ALABAMA,OCEAN (> 3 MI),421953,16.3
FINAL,2021,ALABAMA,INLAND,823315,10.2
FINAL,2021,FLORIDA,OCEAN (<= 10 MI),5752479,10.5
FINAL,2021,FLORIDA,OCEAN (> 10 MI),2021850,13.1
FINAL,2021,FLORIDA,INLAND,9271642,9.4
FINAL,2021,MISSISSIPPI,OCEAN (<= 3 MI),58431,27.9
FINAL,2021,MISSISSIPPI,OCEAN (> 3 MI),144067,35.3
FINAL,2021,MISSISSIPPI,INLAND,1339331,8.1
